Replicate,Generation,mean fitness,mean learning rate,mean learning episodes,mean best fitness,environmental mean location
0,157,312.7717874,0.5409600705,20,367.7995596,-0.9304740767
0,158,314.1361399,0.5397501712,20,369.4464605,-0.6190186861
0,159,329.6692915,0.5390818238,20,375.0362219,-0.8947731463
0,160,313.5224138,0.5421315308,20,367.9370839,0.8939093114
0,161,301.7215555,0.5435325432,20,358.3825073,0.5988472541
0,162,251.5950522,0.5400419936,20,370.6921802,0.3580103243
0,163,315.0815898,0.5382853321,20,366.4719707,0.5800300888
0,164,318.4522778,0.5401570171,20,367.2523519,0.3335897053
0,165,313.919888,0.5442388376,20,359.2448494,0.6317548032
0,166,317.4860528,0.5421802001,20,371.1367813,0.8912718197
0,167,330.3177594,0.5411843958,20,362.6514668,0.6883739004
0,168,296.1368237,0.5388683635,20,358.9711478,0.566464293
0,169,338.7778933,0.5375238668,20,373.3390587,0.2940752176
0,170,321.2064936,0.5399855009,20,367.8605081,0.01580240582
0,171,267.9156369,0.5396086694,20,365.6530422,0.2689840051
0,172,353.9066619,0.5442075552,20,368.7412213,-0.02933080227
0,173,328.8306658,0.5469872041,20,367.3580505,0.2562983821
0,174,354.2272892,0.5530014322,20,366.3253629,0.06174661229
0,175,321.2940005,0.5545909625,20,362.7239733,0.3764673802
0,176,319.2789245,0.5535941254,20,360.0219299,0.6491508796
0,177,245.6238333,0.5536618549,20,370.2727433,0.9692434987
0,178,339.9729263,0.5556022053,20,366.5685396,-0.8352646427
0,179,331.0771295,0.5559607265,20,374.8515058,-0.6462442872
0,180,229.5549881,0.5528665021,20,357.3280818,-0.4505639993
0,181,154.6598525,0.5527630699,20,371.1387611,-0.1764628287
0,182,346.091386,0.5447412006,20,369.4622001,0.04881341667
0,183,278.8839318,0.5437568396,20,375.4589305,-0.151139043
0,184,336.7408493,0.5456769989,20,366.9019453,0.1931736022
0,185,269.2987374,0.5460777894,20,373.2588277,0.4562078255
0,186,329.9048083,0.5427020651,20,364.1694177,0.6826132067
0,187,324.7094603,0.5385430799,20,368.1763367,0.3742883876
0,188,352.8389764,0.5410833136,20,366.4167897,0.0370137496
0,189,215.6291091,0.5478301044,20,371.0983719,-0.257412339
0,190,314.8837828,0.5444080323,20,372.5109661,-0.1041464582
0,191,368.0009902,0.5374412804,20,378.5363966,0.04942705458
0,192,301.8093763,0.5391978633,20,375.1356516,-0.2839443262
0,193,351.9720015,0.5356136152,20,364.7736674,-0.05971677086
0,194,314.3046357,0.5359309561,20,358.6001561,0.1482955911
0,195,363.8657589,0.5383363244,20,375.095093,-0.02058470782
0,196,324.2344755,0.5362496757,20,365.0615007,-0.2559971128
0,197,267.6216026,0.5336179397,20,367.039051,-0.4861367207
