Replicate;mean.fitness;mean.learning.rate;mean.learning.episodes;mean.best.fitness;performance;environmental.mean.location;lifespan;env_sd;env_change;change_rate;learning_prop_life;fitness_prop_life
15;332.9379354;0.44138197;5;379.2573184;0.877858721;0.262391776;500;0.25;0.1;10;0.01;0.665875871
16;329.2401514;0.188997782;5;379.243412;0.868133414;0.060708097;500;0.25;0.1;10;0.01;0.658480303
17;346.149748;0.847039926;5;379.2540702;0.912708426;0.183589261;500;0.25;0.1;10;0.01;0.692299496
18;329.4574779;0.133779018;5;379.2463339;0.868675695;0.33779548;500;0.25;0.1;10;0.01;0.658914956
19;338.6493473;0.326364655;5;379.2207497;0.893012671;-0.110778816;500;0.25;0.1;10;0.01;0.677298695
0;300.0768406;1.44891559;5;379.4009846;0.790869841;0.036133311;500;0.25;0.25;10;0.01;0.600153681
1;290.3951199;0.037108805;5;379.3071661;0.765654975;0.06841685;500;0.25;0.25;10;0.01;0.58079024
2;330.9121624;0.502507986;5;379.520398;0.871872855;-0.017147057;500;0.25;0.25;10;0.01;0.661824325
3;298.0766198;0.375187252;5;378.9151086;0.786726427;0.205507474;500;0.25;0.25;10;0.01;0.59615324
4;300.3984663;0.4568852;5;379.3950463;0.791823051;0.026504485;500;0.25;0.25;10;0.01;0.600796933
5;337.5393122;0.502059212;5;379.5912701;0.889227703;-0.102332404;500;0.25;0.25;10;0.01;0.675078624
6;279.0977781;0.211169913;5;379.2871445;0.735791223;0.055117141;500;0.25;0.25;10;0.01;0.558195556
7;338.9499485;0.739539937;5;379.5071926;0.893162069;-0.02022589;500;0.25;0.25;10;0.01;0.677899897
8;308.9340198;0.411558357;5;379.3925085;0.814236403;0.079659203;500;0.25;0.25;10;0.01;0.61786804
9;335.2180674;0.580847901;5;379.3706058;0.883591806;0.108626703;500;0.25;0.25;10;0.01;0.670436135
10;290.4523218;0.643159256;5;379.2357972;0.765866442;0.057877998;500;0.25;0.25;10;0.01;0.580904644
11;296.8829176;0.751127202;5;379.2503124;0.782786129;0.057457384;500;0.25;0.25;10;0.01;0.593765835
12;308.8290736;0.721072088;5;379.4200922;0.813941814;-0.084400232;500;0.25;0.25;10;0.01;0.617658147
13;334.0149457;0.701828829;5;379.0809994;0.88110561;0.012452306;500;0.25;0.25;10;0.01;0.668029891
14;332.525243;0.473586024;5;379.3085694;0.876614916;-0.079984271;500;0.25;0.25;10;0.01;0.665050486
15;281.374183;0.151521587;5;379.1498622;0.742044967;0.076191776;500;0.25;0.25;10;0.01;0.562748366
16;298.4794095;0.235991943;5;379.4183;0.786731519;0.047958097;500;0.25;0.25;10;0.01;0.596958819
17;284.7633937;0.523608356;5;379.2240661;0.75092792;-0.021160739;500;0.25;0.25;10;0.01;0.569526787
18;331.6170085;0.875971809;5;379.1817465;0.874576011;-0.06045452;500;0.25;0.25;10;0.01;0.663234017
19;305.2534157;1.017742109;5;379.3717182;0.80461728;-0.065328816;500;0.25;0.25;10;0.01;0.610506831
0;303.7117428;0.413467932;5;379.4299862;0.800533197;-0.016566689;500;0.25;0.4;10;0.01;0.607423486
1;312.3649857;0.318530077;5;379.0893195;0.824103122;0.06841685;500;0.25;0.4;10;0.01;0.624729971
2;333.3229741;0.622295528;5;379.1883773;0.879064546;-0.004547057;500;0.25;0.4;10;0.01;0.666645948
3;299.1563355;0.337964911;5;379.1938825;0.788919103;0.010307474;500;0.25;0.4;10;0.01;0.598312671
4;326.6141135;0.335820217;5;379.2529813;0.861201836;0.084004485;500;0.25;0.4;10;0.01;0.653228227
5;264.554425;0.068191802;5;379.287636;0.697526174;0.048917596;500;0.25;0.4;10;0.01;0.52910885
6;331.1982811;0.620770486;5;379.2764604;0.873229609;0.042767141;500;0.25;0.4;10;0.01;0.662396562
7;338.1003665;0.603798591;5;379.3956476;0.891155617;-0.02122589;500;0.25;0.4;10;0.01;0.676200733
8;323.1083377;0.298087309;5;379.3600816;0.851729424;-0.018431044;500;0.25;0.4;10;0.01;0.646216675
9;338.0566522;0.655390417;5;379.2664684;0.891343794;-0.038623297;500;0.25;0.4;10;0.01;0.676113304
10;333.6971582;0.649360887;5;379.2807848;0.879807664;0.117777998;500;0.25;0.4;10;0.01;0.667394316
11;335.6255516;0.622826043;5;379.2560507;0.884941359;0.019107384;500;0.25;0.4;10;0.01;0.671251103
12;323.3735683;0.327927769;5;379.3155834;0.85248179;0.031099768;500;0.25;0.4;10;0.01;0.646747137
13;334.6679161;0.675743178;5;379.3699308;0.882112631;0.096552306;500;0.25;0.4;10;0.01;0.669335832
14;316.6212932;0.582950546;5;379.3264348;0.834704219;-0.055134271;500;0.25;0.4;10;0.01;0.633242586
15;332.7265741;0.578276546;5;379.3234809;0.877147087;0.078985659;500;0.25;0.4;10;0.01;0.665453148
16;336.8447227;0.652039511;5;379.200466;0.888248851;0.015208097;500;0.25;0.4;10;0.01;0.673689445
17;329.2428924;0.482406015;5;379.2959458;0.868020513;-0.044910739;500;0.25;0.4;10;0.01;0.658485785
18;332.0627984;0.768163842;5;379.1539179;0.8757461;-0.05870452;500;0.25;0.4;10;0.01;0.664125597
19;336.6666308;0.658069526;5;379.2964865;0.887644781;0.009121184;500;0.25;0.4;10;0.01;0.673333262
0;364.5262664;0.237047237;5;379.5200701;0.960485059;-0.238968744;500;0.25;0.1;100;0.01;0.729052533
1;367.2783593;0.233259588;5;379.3429003;0.968190646;-0.380749565;500;0.25;0.1;100;0.01;0.734556719
2;360.1676986;0.485763882;5;379.5556427;0.948898108;0.508619089;500;0.25;0.1;100;0.01;0.720335397
3;358.8756516;0.340572445;5;379.5668984;0.945462738;0.559548027;500;0.25;0.1;100;0.01;0.717751303
4;366.0176548;0.52977603;5;379.3177839;0.964925302;0.409998362;500;0.25;0.1;100;0.01;0.73203531
5;352.8053088;0.511842394;5;379.4612949;0.9297458;0.164405406;500;0.25;0.1;100;0.01;0.705610618
6;361.0206473;0.571700897;5;379.20617;0.952032715;-0.463990282;500;0.25;0.1;100;0.01;0.722041295
7;365.2358462;0.149316382;5;379.1969071;0.963187281;0.348329184;500;0.25;0.1;100;0.01;0.730471692
8;361.0796187;0.345680329;5;379.153932;0.952313909;0.234985189;500;0.25;0.1;100;0.01;0.722159237
9;369.3324228;0.391961195;5;379.1841519;0.974011278;0.221591039;500;0.25;0.1;100;0.01;0.738664846
10;365.4830636;0.097870976;5;379.3518655;0.9634285;0.293827678;500;0.25;0.1;100;0.01;0.730966127
11;347.4756624;0.536191492;5;379.2173221;0.916297389;-0.656393958;500;0.25;0.1;100;0.01;0.694951325
12;363.7059756;0.238592995;5;379.3004481;0.958875505;0.289918101;500;0.25;0.1;100;0.01;0.727411951
13;365.7819902;0.851058322;5;379.2819838;0.964398245;-0.245215432;500;0.25;0.1;100;0.01;0.73156398
14;359.6650825;0.13426752;5;379.2175268;0.948446753;-0.615911713;500;0.25;0.1;100;0.01;0.719330165
15;362.7205279;0.06971918;5;379.3011619;0.956261506;-0.394335554;500;0.25;0.1;100;0.01;0.725441056
16;267.2050677;0.060286651;5;379.1400825;0.704777604;-0.171413528;500;0.25;0.1;100;0.01;0.534410135
17;358.8785077;0.115603472;5;379.3479166;0.946019385;-0.008853282;500;0.25;0.1;100;0.01;0.717757015
18;364.1917195;0.515627812;5;379.2630849;0.960246577;0.327845195;500;0.25;0.1;100;0.01;0.728383439
19;363.1402123;1.351930137;5;379.283509;0.95742914;0.644505612;500;0.25;0.1;100;0.01;0.726280425
0;353.9447749;0.151178023;5;379.3538632;0.933021509;0.281031256;500;0.25;0.25;100;0.01;0.70788955
1;330.6424911;0.251631172;5;379.3209669;0.871573797;0.315250435;500;0.25;0.25;100;0.01;0.661284982
2;346.4106803;3.268284127;5;379.3626504;0.913166554;-0.131830911;500;0.25;0.25;100;0.01;0.692821361
3;351.489274;0.0892678;5;379.3123733;0.926648506;0.254398027;500;0.25;0.25;100;0.01;0.702978548
4;312.0973187;0.284193226;5;379.3224404;0.822793467;0.189848362;500;0.25;0.25;100;0.01;0.624194637
5;344.1697135;0.158757289;5;379.3694792;0.907211958;-0.060342393;500;0.25;0.25;100;0.01;0.688339427
6;331.8136792;0.339842012;5;379.0892219;0.875291833;-0.488440282;500;0.25;0.25;100;0.01;0.663627358
7;353.5772854;0.376870092;5;379.1997444;0.932432919;0.063629184;500;0.25;0.25;100;0.01;0.707154571
8;338.9704754;2.345199518;5;379.3174603;0.893677101;-0.213714811;500;0.25;0.25;100;0.01;0.677940951
9;355.2777369;0.413299631;5;379.2854385;0.936701133;0.226741039;500;0.25;0.25;100;0.01;0.710555474
10;351.9556556;0.146889742;5;378.9633062;0.928720845;-0.336022322;500;0.25;0.25;100;0.01;0.703911311
11;351.8238078;0.312847136;5;379.6335983;0.926765669;-0.206243958;500;0.25;0.25;100;0.01;0.703647616
12;315.1115789;0.211520235;5;379.4627658;0.8304283;0.249218101;500;0.25;0.25;100;0.01;0.630223158
13;339.5720021;0.083835058;5;379.2857532;0.895289267;0.005884568;500;0.25;0.25;100;0.01;0.679144004
14;353.6680279;0.307963379;5;379.5400399;0.931816951;0.084088287;500;0.25;0.25;100;0.01;0.707336056
15;324.9443049;0.123845468;5;379.3412323;0.856568515;0.174964446;500;0.25;0.25;100;0.01;0.64988861
16;347.0927379;0.435082092;5;379.0879092;0.915522528;-0.220963528;500;0.25;0.25;100;0.01;0.694185476
17;307.4442969;1.775840659;5;379.2525735;0.810640904;0.181146718;500;0.25;0.25;100;0.01;0.614888594
18;349.3037653;0.056811578;5;379.4482362;0.92056668;-0.107004805;500;0.25;0.25;100;0.01;0.698607531
19;346.2552374;0.336826242;5;379.1455326;0.913250278;-0.445494388;500;0.25;0.25;100;0.01;0.692510475
0;332.3548137;0.966349876;5;379.1457308;0.876612873;0.201031256;500;0.25;0.4;100;0.01;0.664709627
1;339.0424165;0.078957909;5;379.345431;0.893743138;-0.090749565;500;0.25;0.4;100;0.01;0.678084833
2;336.3222697;3.129695649;5;379.2564313;0.886765894;0.127719089;500;0.25;0.4;100;0.01;0.672644539
3;340.0051199;0.151450286;5;379.35309;0.896265861;-0.049751973;500;0.25;0.4;100;0.01;0.68001024
4;286.9602316;0.842584299;5;379.2941237;0.756643701;-0.129301638;500;0.25;0.4;100;0.01;0.573920463
5;332.7597696;0.793545;5;379.1757174;0.877616143;-0.185094594;500;0.25;0.4;100;0.01;0.665519539
6;336.0225771;0.107269857;5;379.2094303;0.88610217;-0.013890282;500;0.25;0.4;100;0.01;0.672045154
7;335.7956803;0.133845011;5;379.1303228;0.885763348;-0.221070816;500;0.25;0.4;100;0.01;0.671591361
