Replicate;mean.fitness;mean.learning.rate;mean.learning.episodes;mean.best.fitness;performance;environmental.mean.location;lifespan;env_sd;env_change;change_rate;learning_prop_life;fitness_prop_life
17;30.39938118;0.65867159;5.5970395;34.0311675;0.893453085;0.011592674;50;0.25;0.4;1;0.11194079;0.607987624
18;29.53222366;0.320544738;5.7225385;33.93237243;0.870157786;-0.011599797;50;0.25;0.4;1;0.11445077;0.590644473
19;30.21187965;0.554393708;5.689753;33.89538619;0.891330843;0.006082426;50;0.25;0.4;1;0.11379506;0.604237593
0;36.67617826;0.583333192;3.777573;40.75474941;0.899941319;-0.09181166;50;0.4;0.1;1;0.07555146;0.733523565
1;36.39303714;0.81425397;4.0946105;40.4898174;0.898779921;0.09884821;50;0.4;0.1;1;0.08189221;0.727860743
2;36.54367582;0.719165898;3.6385065;40.86430897;0.894254483;-0.106359865;50;0.4;0.1;1;0.07277013;0.730873516
3;37.00164966;0.490376978;3.9048405;40.62978565;0.910717255;0.049819031;50;0.4;0.1;1;0.07809681;0.740032993
4;36.60401693;0.608201942;3.894632;40.63329218;0.900906709;-0.021780005;50;0.4;0.1;1;0.07789264;0.732080339
5;36.91527832;0.654170452;3.6715415;40.84152659;0.90385683;0.102824803;50;0.4;0.1;1;0.07343083;0.738305566
6;36.76910181;0.721047031;3.6778835;40.8331678;0.900683338;-0.04114217;50;0.4;0.1;1;0.07355767;0.735382036
7;35.33278666;3.276942329;0.294856;43.79825429;0.806669032;-0.04066206;50;0.4;0.1;1;0.00589712;0.706655733
8;37.03413992;0.749122484;3.8475715;40.64021932;0.911281792;-0.112748791;50;0.4;0.1;1;0.07695143;0.740682798
9;35.44685124;4.778868877;0.2219125;43.88408018;0.807694579;0.009781491;50;0.4;0.1;1;0.00443825;0.708937025
10;36.30456348;0.400787442;3.653388;40.82586989;0.889366119;0.092111363;50;0.4;0.1;1;0.07306776;0.72609127
11;37.22586603;0.571978614;3.918531;40.58964586;0.917132254;0.038138136;50;0.4;0.1;1;0.07837062;0.744517321
12;36.80851327;0.642269903;3.908189;40.6503098;0.905534641;-0.063406478;50;0.4;0.1;1;0.07816378;0.736170265
13;36.88173979;0.709640491;3.9793565;40.5689593;0.909341047;-0.023533709;50;0.4;0.1;1;0.07958713;0.737634796
14;36.79775222;0.746995439;3.875631;40.66085749;0.905040657;-0.011838082;50;0.4;0.1;1;0.07751262;0.735955044
15;34.63593327;4.268990814;0.4736975;43.68759991;0.792770671;-0.013655905;50;0.4;0.1;1;0.00947395;0.692718665
16;36.72269664;0.73769243;4.0725705;40.4668642;0.907412101;0.053246448;50;0.4;0.1;1;0.08145141;0.734453933
